group,scores,logfoldchanges,pvals,pvals_adj,gene_name,mean,std,median,count,sum,nonzero,perc_expressing,is_TF,is_neuropeptide
C1,2.7143953,2.5663407,0.0066396880805569365,0.016082600357505975,Pi15,0.09588362276554108,0.6555713415145874,0.0,21000.0,2013.55615234375,447,0.021285714285714286,False,False
C1,38.09675,2.5639532,0.0,0.0,Ndst4,2.137575149536133,2.682896852493286,0.0,21000.0,44889.078125,8344,0.3973333333333333,False,False
C1,33.460457,2.530806,1.8135186783192732e-245,3.9178256964380163e-243,Col11a1,1.8082892894744873,2.6077542304992676,0.0,21000.0,37974.07421875,7013,0.33395238095238095,False,False
C1,45.922848,2.5252924,0.0,0.0,Kcnt2,3.449831485748291,2.6997175216674805,4.793334007263184,21000.0,72446.4609375,13279,0.6323333333333333,False,False
C1,40.205715,2.4916532,0.0,0.0,Ndst3,2.365103006362915,2.654352903366089,0.0,21000.0,49667.1640625,9482,0.45152380952380955,False,False
C1,3.534281,2.4861374,0.00040888592656980314,0.0011214491977497283,9230109A22Rik,0.1277918815612793,0.7607243061065674,0.0,21000.0,2683.62939453125,586,0.027904761904761904,False,False
C1,10.458788,2.4584699,1.3355296598965282e-25,1.3479006555379379e-24,Gm10754,0.4231763482093811,1.3926680088043213,0.0,21000.0,8886.703125,1813,0.08633333333333333,False,False
C1,37.23915,2.4343796,1.5874979627326405e-303,5.166584278711685e-301,A330008L17Rik,2.175050973892212,2.6845862865448,0.0,21000.0,45676.0703125,8533,0.4063333333333333,False,False
C1,43.339424,2.4301178,0.0,0.0,Klhl1,2.944533586502075,2.797347068786621,4.301700592041016,21000.0,61835.203125,11287,0.5374761904761904,False,False
C1,2.5123618,2.4291224,0.011992604873994799,0.02825636311981099,9330185C12Rik,0.10797654837369919,0.7589818239212036,0.0,21000.0,2267.507568359375,429,0.020428571428571428,False,False
C1,36.553173,2.4257576,1.587637725338969e-292,4.521159249658473e-290,Gm20754,2.2151029109954834,2.7799758911132812,0.0,21000.0,46517.16015625,8379,0.399,False,False
C1,44.815033,2.4197972,0.0,0.0,Slc6a1,2.8729970455169678,2.532379150390625,4.318292617797852,21000.0,60332.9375,12001,0.5714761904761905,False,False
C1,2.3857336,2.4030666,0.017045090207601345,0.03943772141099527,Igfbpl1,0.08893201500177383,0.6439756155014038,0.0,21000.0,1867.572265625,399,0.019,False,False
C1,30.966797,2.3852818,1.5096592567868767e-210,2.4566273360440994e-208,Nwd2,1.5821208953857422,2.404486656188965,0.0,21000.0,33224.5390625,6480,0.30857142857142855,False,False
C1,30.930788,2.37689,4.606479496612998e-210,7.447637173233659e-208,Gm15680,1.5301597118377686,2.3311767578125,0.0,21000.0,32133.353515625,6445,0.3069047619047619,False,False
C1,3.5760777,2.3352807,0.00034878789328920436,0.000963409219832171,Selenov,0.13093943893909454,0.7627286314964294,0.0,21000.0,2749.728271484375,610,0.029047619047619048,False,False
C1,39.32822,2.3269868,0.0,0.0,Vwc2l,3.2034554481506348,2.790349006652832,4.634720802307129,21000.0,67272.5625,12180,0.58,False,False
